title,author,date_complete,word_count,genre
Station Eleven,Emily St. John Mandel,4/17/18,99840,Post-apocalyptic
Flowers for Algernon,Daniel Keyes,5/30/18,78010,Science fiction
"Perdido Street Station (Bas-Lag, book I)",China Miéville,6/8/18,192852,Weird fantasy
"The Scar (Bas-Lag, book II)",China Miéville,6/22/18,213708,Weird fantasy
"Iron Council (Bas-Lag, book III)",China Miéville,6/29/18,166848,Weird fantasy
The City & The City,China Miéville,7/25/18,96096,Weird fiction
Embassytown,China Miéville,7/31/18,115165,Science fiction
A Wrinkle in Time,Madeleine L'Engle,8/5/18,52587,Science fantasy
Tuesday’s with Morrie,Mitch Albom,8/11/18,31983,Nonfiction
This Census-Taker,China Miéville,8/12/18,37994,Fantasy
"The Fifth Season (Broken Earth, book I)",N.K. Jemisin,8/17/18,134415,Science fantasy
Kraken,China Miéville,8/22/18,149380,Fantasy
American Gods,Neil Gaiman,8/24/18,188623,Fantasy
Railsea,China Miéville,8/24/18,103820,Weird fiction
"The Obelisk Gate (Broken Earth, book II)",N.K. Jemisin,8/25/18,115855,Science fantasy
Milk and Honey,Rupi Kaur,8/29/18,4000,Poetry
"The Stone Sky (Broken Earth, book III)",N.K. Jemisin,8/30/18,124120,Science fantasy
Three Moments of an Explosion,China Miéville,9/4/18,137830,Collection
The Little Paris Bookshop,Nina George,9/6/18,102180,Fiction
The Devil in the White City,Erik Larson,9/9/18,138292,Historical nonfiction
The Lathe of Heaven,Ursula K. Le Guin,9/10/18,59160,Science fiction
"The Rook (The Rook Files, book I)",Daniel O'Malley,9/30/18,156165,Contemporary fantasy
Neverwhere,Neil Gaiman,10/2/18,99383,Urban fantasy
A Wizard of Earthsea,Ursula K. Le Guin,10/5/18,63365,Fantasy
The Last Lecture,"Jeffrey Zaslow, Randy Pausch",10/10/18,40020,Nonfiction
Good Omens,"Neil Gaiman, Terry Prachett",10/14/18,106936,Fantasy
The Last Days of New Paris,China Miéville,10/20/18,49010,Fantasy
Other Minds,Peter Godfrey-Smith,11/5/18,68000,Popular science
Dark Matter,Blake Crouch,11/10/18,88160,Science fiction
Every Heart a Doorway,Seanan McGuire,11/12/18,41180,Fantasy
The Time Keeper,Mitch Albom,11/15/18,40890,Fiction
The Song of Achilles,Madeline Miller,11/25/18,100195,Historical fiction
Down Among the Sticks and Bones,Seanan McGuire,11/27/18,35380,Fantasy
Beneath the Sugar Sky,Seanan McGuire,11/27/18,36395,Fantasy
The Night Circus,Erin Morgenstern,11/28/18,118900,Fantasy
Graceling,Kristin Cashore,11/30/18,117740,Fantasy
Fire,Kristin Cashore,11/30/18,115420,Fantasy
"Thinking, Fast and Slow",Daniel Khaneman,12/1/18,174290,Popular science
The Penelopiad,Margaret Atwood,12/6/18,29000,Fiction
Ender's Game,Orson Scott Card,12/20/18,100609,Science fiction
Ender's Shadow,Orson Scott Card,12/23/18,136590,Science fiction
The Graveyard Book,Neil Gaiman,12/25/18,69151,Fantasy
The Name of the Wind,Patrick Rothfuss,1/1/19,259000,Fantasy
Lost Stars,Claudia Grey,1/10/19,101645,Science fiction
When Breath Becomes Air,Paul Kalanithi,2/28/19,48575,Nonfiction
A Monster Calls,Patrick Ness,3/3/19,34655,Fantasy
From Here to Eternity,Caitlin Doughty,3/7/19,48865,Nonfiction
A Game of Thrones,George R. R. Martin,5/17/19,284000,Fantasy
A Clash of Kings,George R. R. Martin,5/28/19,326000,Fantasy
A Storm of Swords,George R. R. Martin,6/7/19,404000,Fantasy
A Feast for Crows,George R. R. Martin,6/14/19,300000,Fantasy
1Q84,Haruki Murakami,7/31/19,406725,Fiction
Speaker for the Dead,Orson Scott Card,8/16/19,122960,Science fiction
House of Leaves,Mark Z. Danielewski,3/8/20,200000,Horror
The Poppy War,R.F. Kuang,3/15/20,156906,Fantasy
The Life-Changing Magic of Tidying Up,Marie Kondo,3/18/20,40000,Philosophy
Shoring Up The Night,"Nicholas Carey, E.C. Static",3/18/20,50000,Collection